Babel,BSD,http://babel.pocoo.org/,pip
IPy,BSD,https://github.com/autocracy/python-ipy,pip
Markdown,BSD,http://packages.python.org/Markdown/,pip
PrettyTable,BSD,http://code.google.com/p/prettytable/,pip
South,Apache 2.0,http://south.aeracode.org/,pip
amqp,LGPL 2.1,http://github.com/celery/py-amqp,pip
angular,MIT,https://github.com/angular/angular.js.git,js
angular-animate,MIT,https://github.com/angular/angular.js.git,js
angular-codemirror,MIT,https://github.com/chouseknecht/angular-codemirror,js
angular-cookies,MIT,https://github.com/angular/angular.js.git,js
angular-filters,Apache 2.0,https://github.com/frapontillo/angular-filters,js
angular-md5,MIT,https://github.com/gdi2290/angular-md5.git,js
angular-mocks,MIT,https://github.com/angular/angular.js.git,js
angular-moment,MIT,http://github.com/urish/angular-moment,js
angular-resource,MIT,https://github.com/angular/angular.js.git,js
angular-route,MIT,https://github.com/angular/angular.js.git,js
angular-sanitize,MIT,https://github.com/angular/angular.js.git,js
angular-scheduler,MIT,https://github.com/chouseknecht/angular-scheduler,js
angular-tz-extensions,MIT,https://github.com/chouseknecht/angular-tz-extensions,js
ansiconv,MIT,https://bitbucket.org/dhrrgn/ansiconv,pip
anyjson,BSD,http://bitbucket.org/runeh/anyjson/,pip
apache-libcloud,Apache 2.0,http://libcloud.apache.org/,pip
argparse,PSF,http://code.google.com/p/argparse/,pip
azure,Apache 2.0,https://github.com/WindowsAzure/azure-sdk-for-python,pip
billiard,BSD,http://github.com/celery/billiard,pip
bootstrap,MIT,https://github.com/twbs/bootstrap.git,js
bootstrap-datepicker,Apache 2.0,https://github.com/eternicode/bootstrap-datepicker,js
boto,MIT,https://github.com/boto/boto/,pip
celery,BSD,http://celeryproject.org,pip
codemirror,MIT,https://github.com/codemirror/CodeMirror.git,js
components-font-awesome,SIL Open Font License and MIT,http://fortawesome.github.io/Font-Awesome/,js
d2to1,BSD,http://pypi.python.org/pypi/d2to1,pip
d3,BSD,https://github.com/mbostock/d3.git,js
distribute,PSF or ZPL,http://packages.python.org/distribute,pip
django-auth-ldap,BSD,http://bitbucket.org/psagers/django-auth-ldap/,pip
django-celery,BSD,http://celeryproject.org,pip
django-crum,BSD,https://projects.ninemoreminutes.com/projects/django-crum/,pip
django-extensions,MIT,http://github.com/django-extensions/django-extensions,pip
django-jsonfield,BSD,http://bitbucket.org/schinckel/django-jsonfield/,pip
django-qsstats-magic,MIT,http://bitbucket.org/kmike/django-qsstats-magic/,pip
django-rest-framework-mongoengine,MIT,https://github.com/umutbozkurt/django-rest-framework-mongoengine,pip
django-split-settings,BSD,http://github.com/2general/django-split-settings,pip
django-taggit,BSD,http://github.com/alex/django-taggit/tree/master,pip
django_polymorphic,BSD,https://github.com/chrisglass/django_polymorphic,pip
djangorestframework,BSD,http://www.django-rest-framework.org,pip
dogpile.cache,BSD,http://bitbucket.org/zzzeek/dogpile.cache,pip
dogpile.core,BSD,http://bitbucket.org/zzzeek/dogpile.core,pip
ember-cli-test-loader,MIT,https://github.com/rjackson/ember-cli-test-loader,js
gevent-socketio,BSD,https://github.com/abourget/gevent-socketio,pip
gevent-websocket,Apache 2.0,https://bitbucket.org/Jeffrey/gevent-websocket,pip
httplib2,MIT,https://github.com/jcgregorio/httplib2,pip
importlib,PSF,https://pypi.python.org/pypi/importlib,pip
iso8601,MIT,https://bitbucket.org/micktwomey/pyiso8601,pip
isodate,BSD,http://cheeseshop.python.org/pypi/isodate,pip
jQuery.dotdotdot,MIT and GPL (*Ansible licenses via MIT),https://github.com/BeSite/jQuery.dotdotdot,js
